STA_SEQ,YLAT,XLONG,SDATE,SYEAR,BCG,MEM
14465,41.9608,-72.711,1989-11-01,1989,4,1
14226,41.5314,-72.8218,1989-11-02,1989,5,1
14479,41.7314,-72.7231,1989-11-02,1989,5,1
14314,41.8008,-72.1182,1989-11-07,1989,2,1
14391,41.6681,-72.9208,1989-11-28,1989,5,1
14383,41.6719,-72.8751,1990-10-31,1990,5,1
14389,41.6693,-72.9936,1990-10-31,1990,5,1
14390,41.6742,-72.9619,1990-10-31,1990,5,1
14393,41.7046,-72.8504,1990-11-02,1990,5,1
14132,42.0236,-73.341,1990-11-28,1990,3,1
14421,41.5185,-72.8258,1991-10-09,1991,6,1
14414,41.4501,-72.8407,1991-10-10,1991,5,1
14314,41.8008,-72.1182,1991-10-22,1991,2,1
14441,41.5742,-72.4294,1991-10-23,1991,3,1
14444,41.2945,-73.3948,1991-10-24,1991,3,1
14450,41.5489,-73.3308,1991-10-24,1991,3,1
14458,41.4389,-73.401,1991-10-24,1991,5,1
14465,41.9608,-72.711,1991-10-29,1991,4,1
14317,41.4435,-73.0642,1991-11-05,1991,5,1
14318,41.3387,-73.0806,1991-11-05,1991,5,1
14334,41.4834,-73.0523,1991-11-05,1991,5,1
14339,41.3189,-73.0818,1991-11-05,1991,5,1
14324,41.5571,-73.0544,1991-11-06,1991,5,1
14331,41.5051,-73.0469,1991-11-06,1991,5,1
14348,41.7631,-73.1173,1991-11-07,1991,5,1
14341,41.7891,-73.1145,1991-11-08,1991,5,1
14482,41.8181,-73.1441,1991-11-08,1991,4,1
14923,41.6596,-73.0779,1991-11-08,1991,5,1
14392,41.6738,-72.8977,1991-11-19,1991,5,1
14393,41.7046,-72.8504,1991-11-19,1991,5,1
14402,41.6912,-73.0045,1991-11-19,1991,3,1
14383,41.6719,-72.8751,1991-11-20,1991,5,1
14385,41.6789,-73.015,1991-11-20,1991,5,1
14389,41.6693,-72.9936,1991-11-20,1991,5,1
14288,41.6189,-72.7127,1992-10-23,1992,5,1
14284,41.5439,-73.0384,1992-10-28,1992,5,1
14413,41.528244,-72.856272,1992-10-28,1992,5,1
14235,41.7822,-72.5912,1992-10-29,1992,5,1
14414,41.4501,-72.8407,1992-10-29,1992,5,1
14389,41.6693,-72.9936,1992-11-10,1992,5,1
14390,41.6742,-72.9619,1992-11-10,1992,5,1
14392,41.6738,-72.8977,1992-11-10,1992,5,1
14393,41.7046,-72.8504,1992-11-10,1992,5,1
14413,41.528244,-72.856272,1993-10-06,1993,6,1
14182,41.6817,-73.354,1993-10-07,1993,5,1
14284,41.5439,-73.0384,1993-10-07,1993,6,1
14288,41.6189,-72.7127,1993-10-22,1993,5,1
14383,41.6719,-72.8751,1993-10-25,1993,5,1
14390,41.6742,-72.9619,1993-10-25,1993,5,1
14391,41.6681,-72.9208,1993-10-25,1993,5,1
14392,41.6738,-72.8977,1993-10-25,1993,5,1
14393,41.7046,-72.8504,1993-10-25,1993,5,1
14385,41.6789,-73.015,1993-10-26,1993,5,1
14388,41.678,-73.0002,1993-10-26,1993,5,1
14389,41.6693,-72.9936,1993-10-26,1993,5,1
14463,41.3898,-73.4637,1993-10-28,1993,5,1
