STA_SEQ,NAME,YLAT,XLONG,SDATE,SYEAR,BCG,YCNT,MINYEAR,MAXYEAR
14148,Bunnell Brook,41.7846,-72.9657,1989-10-16,1989,3.5,3,1989,2008
14465,Stony Brook,41.9608,-72.711,1989-11-01,1989,4,4,1989,2008
14479,Trout Brook,41.7314,-72.7231,1989-11-02,1989,5,8,1989,2014
14226,Harbor Brook,41.5314,-72.8218,1989-11-02,1989,5,8,1989,2016
14492,Willimantic River,41.8326,-72.3079,1989-11-07,1989,2.794117647,5,1989,2014
14314,Natchaug River,41.8008,-72.1182,1989-11-07,1989,2,19,1989,2017
14383,Pequabuck River,41.6719,-72.8751,1989-11-28,1989,5.25,5,1989,1995
14391,Pequabuck River,41.6681,-72.9208,1989-11-28,1989,5,4,1989,1998
14392,Pequabuck River,41.6738,-72.8977,1990-10-31,1990,5.75,16,1990,2018
14391,Pequabuck River,41.6681,-72.9208,1990-10-31,1990,5.1,4,1989,1998
14389,Pequabuck River,41.6693,-72.9936,1990-10-31,1990,5,7,1990,2008
14383,Pequabuck River,41.6719,-72.8751,1990-10-31,1990,5,5,1989,1995
14390,Pequabuck River,41.6742,-72.9619,1990-10-31,1990,5,12,1990,2017
14393,Pequabuck River,41.7046,-72.8504,1990-11-02,1990,5,7,1990,1998
14132,Blackberry River,42.0236,-73.341,1990-11-28,1990,3,3,1990,2006
14413,Quinnipiac River,41.528244,-72.856272,1991-10-09,1991,5.25,14,1991,2018
14421,Quinnipiac River,41.5185,-72.8258,1991-10-09,1991,6,1,1991,1991
14414,Quinnipiac River,41.4501,-72.8407,1991-10-10,1991,5,14,1991,2018
14314,Natchaug River,41.8008,-72.1182,1991-10-22,1991,2,19,1989,2017
14441,Salmon River,41.5742,-72.4294,1991-10-23,1991,3,24,1991,2018
14450,Shepaug River,41.5489,-73.3308,1991-10-24,1991,3,26,1991,2018
14444,Saugatuck River,41.2945,-73.3948,1991-10-24,1991,3,23,1991,2018
14458,Still River,41.4389,-73.401,1991-10-24,1991,5,13,1991,2018
14465,Stony Brook,41.9608,-72.711,1991-10-29,1991,4,4,1989,2008
14323,Naugatuck River,41.5894,-73.0574,1991-11-05,1991,5.25,2,1991,2000
14334,Naugatuck River,41.4834,-73.0523,1991-11-05,1991,5,1,1991,1991
14317,Naugatuck River,41.4435,-73.0642,1991-11-05,1991,5,17,1991,2018
14339,Naugatuck River,41.3189,-73.0818,1991-11-05,1991,5,1,1991,1991
14318,Naugatuck River,41.3387,-73.0806,1991-11-05,1991,5,5,1991,2008
14284,Mad River,41.5439,-73.0384,1991-11-06,1991,5.5,8,1991,2013
14328,Naugatuck River,41.5356,-73.0368,1991-11-06,1991,5.75,1,1991,1991
14324,Naugatuck River,41.5571,-73.0544,1991-11-06,1991,5,1,1991,1991
14331,Naugatuck River,41.5051,-73.0469,1991-11-06,1991,5,1,1991,1991
14316,Naugatuck River,41.6159,-73.0579,1991-11-07,1991,5.75,15,1991,2019
14348,Naugatuck River,41.7631,-73.1173,1991-11-07,1991,5,3,1991,2004
14175,East Branch Naugatuck River,41.8203,-73.1232,1991-11-08,1991,4.75,1,1991,1991
14923,Naugatuck River,41.6596,-73.0779,1991-11-08,1991,5,1,1991,1991
14341,Naugatuck River,41.7891,-73.1145,1991-11-08,1991,5,7,1991,2016
14482,West Branch Naugatuck River,41.8181,-73.1441,1991-11-08,1991,4,7,1991,2016
14388,Pequabuck River,41.678,-73.0002,1991-11-19,1991,3.5,3,1991,1994
14392,Pequabuck River,41.6738,-72.8977,1991-11-19,1991,5,16,1990,2018
14402,Poland River,41.6912,-73.0045,1991-11-19,1991,3,3,1991,2012
14393,Pequabuck River,41.7046,-72.8504,1991-11-19,1991,5,7,1990,1998
14389,Pequabuck River,41.6693,-72.9936,1991-11-20,1991,5,7,1990,2008
14383,Pequabuck River,41.6719,-72.8751,1991-11-20,1991,5,5,1989,1995
14385,Pequabuck River,41.6789,-73.015,1991-11-20,1991,5,3,1991,2008
14288,Mattabesset River,41.6189,-72.7127,1992-10-23,1992,5,10,1992,2014
14413,Quinnipiac River,41.528244,-72.856272,1992-10-28,1992,5,14,1991,2018
14284,Mad River,41.5439,-73.0384,1992-10-28,1992,5,8,1991,2013
14235,Hockanum River,41.7822,-72.5912,1992-10-29,1992,5,6,1992,2010
14414,Quinnipiac River,41.4501,-72.8407,1992-10-29,1992,5,14,1991,2018
14392,Pequabuck River,41.6738,-72.8977,1992-11-10,1992,5,16,1990,2018
14390,Pequabuck River,41.6742,-72.9619,1992-11-10,1992,5,12,1990,2017
14389,Pequabuck River,41.6693,-72.9936,1992-11-10,1992,5,7,1990,2008
14393,Pequabuck River,41.7046,-72.8504,1992-11-10,1992,5,7,1990,1998
14188,Eightmile River,41.588,-72.8977,1993-10-06,1993,3.53271028,10,1993,2003
14420,Quinnipiac River,41.5502,-72.8705,1993-10-06,1993,5.75,3,1993,2009
14413,Quinnipiac River,41.528244,-72.856272,1993-10-06,1993,6,14,1991,2018
14181,East Aspetuck River,41.6823,-73.3539,1993-10-07,1993,5.25,1,1993,1993
14284,Mad River,41.5439,-73.0384,1993-10-07,1993,6,8,1991,2013
14182,East Aspetuck River,41.6817,-73.354,1993-10-07,1993,5,1,1993,1993
14288,Mattabesset River,41.6189,-72.7127,1993-10-22,1993,5,10,1992,2014
14383,Pequabuck River,41.6719,-72.8751,1993-10-25,1993,5,5,1989,1995
14390,Pequabuck River,41.6742,-72.9619,1993-10-25,1993,5,12,1990,2017
14393,Pequabuck River,41.7046,-72.8504,1993-10-25,1993,5,7,1990,1998
14392,Pequabuck River,41.6738,-72.8977,1993-10-25,1993,5,16,1990,2018
14391,Pequabuck River,41.6681,-72.9208,1993-10-25,1993,5,4,1989,1998
14388,Pequabuck River,41.678,-73.0002,1993-10-26,1993,5,3,1991,1994
14385,Pequabuck River,41.6789,-73.015,1993-10-26,1993,5,3,1991,2008
14389,Pequabuck River,41.6693,-72.9936,1993-10-26,1993,5,7,1990,2008
14458,Still River,41.4389,-73.401,1993-10-28,1993,5.25,13,1991,2018
14463,Still River,41.3898,-73.4637,1993-10-28,1993,5,3,1993,2005
